year,survey,name,creator,version,link
2017,amb_chile2016,LAPOP AmericasBarometer,Juan Pablo Luna,v18.0.6.0,http://datasets.americasbarometer.org/database/files/336280178Chile%20LAPOP%20AmericasBarometer%202017%20V1.0_W.dta
2019,amb_chile2018,LAPOP AmericasBarometer,Elizabeth Zechmeister,v11.1.7.0,http://datasets.americasbarometer.org/database/files/Chile%20LAPOP%20AmericasBarometer%202019%20v1.0_W.dta
2016,amb_colombia2016,LAPOP AmericasBarometer,Juan Carlos RodrÃ­guez-Raga,v9.0.5.2,http://datasets.americasbarometer.org/database/files/1966987763Colombia%20LAPOP%20AmericasBarometer%202016%20V1.0_W.dta
2006,amb_combo,LAPOP AmericasBarometer,"Mitchell A. Seligson Kelly,Juan Carlos Donoso,Ricardo CÃ³rdova，Dinorah Azpuru，Lawrence Lachmansingh，Dominique ZÃ©phyr，Orlando PÃ©rez，Balford Lew1s，Pablo ParÃ¡s，Orlando PÃ©rez，Orlando PÃ©rez，Manuel Orrego，Julio CarriÃ³n，Mitchell A. Seligson，MarÃ­a Fernanda Boidi，Damarys Canache",,https://public.tableau.com/app/profile/lapop.central/viz/LAPOPV3_2/Combination?publish=yes
2007,amb_combo,LAPOP AmericasBarometer,Juan Carlos RodrÃ­guez-Raga,,无2007年data
2008,amb_combo,LAPOP AmericasBarometer,German Lodola,,https://public.tableau.com/app/profile/lapop.central/viz/LAPOPV3_2/Combination?publish=yes
2009,amb_combo,LAPOP AmericasBarometer,Juan Carlos RodrÃ­guez-Raga,,https://public.tableau.com/app/profile/lapop.central/viz/LAPOPV3_3/Combination?publish=yes
2010,amb_combo,LAPOP AmericasBarometer,German Lodola,,https://public.tableau.com/app/profile/lapop.central/viz/LAPOPV3_4/Combination?publish=yes
2012,amb_combo,LAPOP AmericasBarometer,German Lodola,,https://public.tableau.com/app/profile/lapop.central/viz/LAPOPV3_5/Combination?publish=yes
2014,amb_combo,LAPOP AmericasBarometer,German Lodola,,https://public.tableau.com/app/profile/lapop.central/viz/LAPOPV3_6/Combination?publish=yes
2016,amb_combo,LAPOP AmericasBarometer,Elizabeth Zechmeister,,https://public.tableau.com/app/profile/lapop.central/viz/LAPOPV3_7/Combination?publish=yes
2017,amb_combo,LAPOP AmericasBarometer,,,https://public.tableau.com/app/profile/lapop.central/viz/LAPOPV3_8/Combination?publish=yes
2018,amb_combo,LAPOP AmericasBarometer,Elizabeth Zechmeister,,https://public.tableau.com/app/profile/lapop.central/viz/LAPOPV3_9/Combination?publish=yes
2019,amb_combo,LAPOP AmericasBarometer,,,https://public.tableau.com/app/profile/lapop.central/viz/LAPOPV3_10/Combination?publish=yes
2016,amb_costarica2016,LAPOP AmericasBarometer,Jorge Vargas Cullell,v11.0.5.0,http://datasets.americasbarometer.org/database/files/1636511905CostaRica%20LAPOP%20AmericasBarometer%202016%20V1.0_W.dta
2018,amb_costarica2018,LAPOP AmericasBarometer,Elizabeth Zechmeister,v9.0.5.1,http://datasets.americasbarometer.org/database/files/CostaRica%20LAPOP%20AmericasBarometer%202018%20v1.0_W.dta
2016,amb_dominica2016,LAPOP AmericasBarometer,Elizabeth Zechmeister,v14.0.3.2,http://datasets.americasbarometer.org/database/files/534210736Dominica%20LAPOP%20AmericasBarometer%202016%20V1.0_W.dta
2014,amb_ecuador2014,LAPOP AmericasBarometer,Juan Carlos Donoso,v15.2.5.1,http://datasets.americasbarometer.org/database/files/244461055Ecuador%20LAPOP%20AmericasBarometer%202014%20v3.0_W.dta
2019,amb_ecuador2018,LAPOP AmericasBarometer,Elizabeth Zechmeister,v11.1.3.2,http://datasets.americasbarometer.org/database/files/Ecuador%20LAPOP%20AmericasBarometer%202019%20v1.0_W.dta
2016,amb_grenada2016,LAPOP AmericasBarometer,Elizabeth Zechmeister,v15.2.4.3,http://datasets.americasbarometer.org/database/files/400479132Grenada%20LAPOP%20AmericasBarometer%202016%20V1.0_W.dta
2016,amb_guyana2016,LAPOP AmericasBarometer,Dinorah Azpuru,v15.2.6.0,http://datasets.americasbarometer.org/database/files/823416394Guatemala%20LAPOP%20AmericasBarometer%202017%20V1.0_W.dta
2017,amb_panama2016,LAPOP AmericasBarometer,Orlando PÃ©rez,v18.0.2.2,http://datasets.americasbarometer.org/database/files/2078678947Panama%20LAPOP%20AmericasBarometer%202017%20V1.0_W.dta
2019,amb_panama2018,LAPOP AmericasBarometer,,,http://datasets.americasbarometer.org/database/files/Panama%20LAPOP%20AmericasBarometer%202018%20v1.0_W.dta
2016,amb_stkittsnevis2016,LAPOP AmericasBarometer,Elizabeth Zechmeiste,v15.2.4.2,http://datasets.americasbarometer.org/database/files/1597907601StKittsNevis%20LAPOP%20AmericasBarometer%202016%20V1.0_W.dta
2017,amb_stlucia2016,LAPOP AmericasBarometer,Elizabeth Zechmeister,v15.2.4.4,http://datasets.americasbarometer.org/database/files/1241300571StLucia%20LAPOP%20AmericasBarometer%202016%20V1.0_W.dta
2016,amb_stvincent2016,LAPOP AmericasBarometer,Elizabeth Zechmeister,v15.2.4.2,http://datasets.americasbarometer.org/database/files/317383160StVincent%20LAPOP%20AmericasBarometer%202016%20V1.0_W.dta
2012,amb_suriname2012,LAPOP AmericasBarometer,Mitchell A. Seligson,v10.0.2.2,http://datasets.americasbarometer.org/database/files/108630764Suriname%20LAPOP%20AmericasBarometer%202012%20Rev1_W.dta
2010,amb_trinidad2010,LAPOP AmericasBarometer,Dominique ZÃ©phyr,v8.8,http://datasets.americasbarometer.org/database/files/464873967Trinidad_LAPOP_AmericasBarometer%202010%20data%20set%20%20approved%20V3.dta
2012,amb_trinidad2012,LAPOP AmericasBarometer,Mitchell A. Seligson,v10.0.2.2,http://datasets.americasbarometer.org/database/files/1496679067TrinandTob%20LAPOP%20AmericasBarometer%202012%20Rev1_W.dta
2017,amb_uruguay2016,LAPOP AmericasBarometer,MarÃ­a Fernanda Boidi,v18.0.4.0,http://datasets.americasbarometer.org/database/files/646644681Uruguay%20LAPOP%20AmericasBarometer%202017%20V1.0_W.dta
2019,amb_uruguay2018,LAPOP AmericasBarometer,Elizabeth Zechmeister,v12.0.3.0 ,http://datasets.americasbarometer.org/database/files/Uruguay%20LAPOP%20AmericasBarometer%202019%20v1.0_W.dta
2010,amb_us2010,LAPOP AmericasBarometer,Mitchell A. Seligson,v10.2,http://datasets.americasbarometer.org/database/files/1954363083US_LAPOP_AmericasBarometer%202010%20data%20set%20%20original%20V1.dta
2012,amb_us2012,LAPOP AmericasBarometer,Mitchell A. Seligson,v10.0.1.2,http://datasets.americasbarometer.org/database/files/241473079UnitedStates%20LAPOP%20AmericasBarometer%202012%20Rev1_W.dta
2014,amb_us2014,LAPOP AmericasBarometer,Elizabeth Zechmeister,v15.2.5.2,http://datasets.americasbarometer.org/database/files/98099043UnitedStates%20LAPOP%20AmericasBarometer%202014%20v3.0_W.dta
2017,amb_us2016,LAPOP AmericasBarometer,Elizabeth Zechmeister,v18.0.3.1,http://datasets.americasbarometer.org/database/files/2133069031United%20States%20LAPOP%20AmericasBarometer%202017%20V1.0_W.dta
2019,amb_us2018,LAPOP AmericasBarometer,Elizabeth Zechmeister,v12.0.7.0,http://datasets.americasbarometer.org/database/files/UnitedStates%20LAPOP%20AmericasBarometer%202019%20v1.0_W.dta
2021,amb_us2021,LAPOP AmericasBarometer,Elizabeth Zechmeister,v17.5.4.3,http://datasets.americasbarometer.org/database/files/USA_2021_LAPOP_AmericasBarometer_v1.2_w.dta
2012,amb_venezuela2012,LAPOP AmericasBarometer,Damarys Canache,v10.0.2.3,http://datasets.americasbarometer.org/database/files/256579462Venezuela%20LAPOP%20AmericasBarometer%202012%20Rev1_W.dta
2014,amb_venezuela2014,LAPOP AmericasBarometer,Damarys Canache,v15.2.3.2,http://datasets.americasbarometer.org/database/files/822140976Venezuela%20LAPOP%20AmericasBarometer%202014%20v3.0_W.dta
2016,amb_venezuela2016,LAPOP AmericasBarometer,Damarys Canache,v14.0.2.6,http://datasets.americasbarometer.org/database/files/25258094Venezuela%20LAPOP%20AmericasBarometer%202016-17%20V1.0_W.dta
1995,lb1995,Latinobarometro,Corporación Latinobarómetro,v20190707,https://www.latinobarometro.org/latContents.jsp
1996,lb1996,Latinobarometro,Corporación Latinobarómetro,v20190707,https://www.latinobarometro.org/latContents.jsp
1997,lb1997,Latinobarometro,Corporación Latinobarómetro,v20190707,https://www.latinobarometro.org/latContents.jsp
1998,lb1998,Latinobarometro,Corporación Latinobarómetro,v20190707,https://www.latinobarometro.org/latContents.jsp
2000,lb2000,Latinobarometro,Corporación Latinobarómetro,v20190707,https://www.latinobarometro.org/latContents.jsp
2001,lb2001,Latinobarometro,Corporación Latinobarómetro,v20190707,https://www.latinobarometro.org/latContents.jsp
2003,lb2003,Latinobarometro,Corporación Latinobarómetro,v20190707,https://www.latinobarometro.org/latContents.jsp
2004,lb2004,Latinobarometro,Corporación Latinobarómetro,v20190707,https://www.latinobarometro.org/latContents.jsp
2005,lb2005,Latinobarometro,Corporación Latinobarómetro,v20190707,https://www.latinobarometro.org/latContents.jsp
2007,lb2007,Latinobarometro,Corporación Latinobarómetro,v20190707,https://www.latinobarometro.org/latContents.jsp
2009,lb2009,Latinobarometro,Corporación Latinobarómetro,v20190707,https://www.latinobarometro.org/latContents.jsp
2010,lb2010,Latinobarometro,Corporación Latinobarómetro,v20190707,https://www.latinobarometro.org/latContents.jsp
2013,lb2013,Latinobarometro,Corporación Latinobarómetro,v20190707,https://www.latinobarometro.org/latContents.jsp
2020,lb2020,Latinobarometro,Corporación Latinobarómetro,v20190707,https://www.latinobarometro.org/latContents.jsp
1984,nsss1984,National Social Science Survey,"Kelley, Jonathan; Cushing, Robert; Headey, Bruce",V2,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.26193/RDLL0Y
1987,nsss1987,National Social Science Survey,"Kelley, Jonathan; Bean, Clive; Evans, Mariah D. R.",V2,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.26193/J41IBV
1989,nsss1989,National Social Science Survey,"Kelley, Jonathan; Bean, Clive; Evans, Mariah, 2017",V1,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/R7OO0J
1994,nsss1994,National Social Science Survey,"Kelley, Jonathan; Bean, Clive; Evans, Mariah D. R.; Zagorski, Krzysztof",V2,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.26193/DDWXI7
1995,nsss1995,National Social Science Survey,"Kelley, Jonathan; Bean, Clive; Evans, Mariah D. R.",V2,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.26193/R70QJY
1992,neb_combo,New Europe Barometer (NEB) Surveys,"The Centre for the Study of Public Policy and the Paul Lazarsfeld Society, Vienna",v2,https://www.cspp.strath.ac.uk/catalog13_0.html
1993,neb_combo,New Europe Barometer (NEB) Surveys,"The Centre for the Study of Public Policy and the Paul Lazarsfeld Society, Vienna",v3,https://www.cspp.strath.ac.uk/catalog13_0.html
1995,neb_combo,New Europe Barometer (NEB) Surveys,"The Centre for the Study of Public Policy and the Paul Lazarsfeld Society, Vienna",v4,https://www.cspp.strath.ac.uk/catalog13_0.html
1996,neb_combo,New Europe Barometer (NEB) Surveys,"The Centre for the Study of Public Policy and the Paul Lazarsfeld Society, Vienna",v5,https://www.cspp.strath.ac.uk/catalog13_0.html
2003,neb_combo,New Europe Barometer (NEB) Surveys,"The Centre for the Study of Public Policy and the Paul Lazarsfeld Society, Vienna",v6,https://www.cspp.strath.ac.uk/catalog13_0.html
2004,neb_combo,New Europe Barometer (NEB) Surveys,"The Centre for the Study of Public Policy and the Paul Lazarsfeld Society, Vienna",v7,https://www.cspp.strath.ac.uk/catalog13_0.html
2007,neb_combo,New Europe Barometer (NEB) Surveys,"The Centre for the Study of Public Policy and the Paul Lazarsfeld Society, Vienna",v7,https://www.cspp.strath.ac.uk/catalog13_0.html
1993,nzes1993,New Zealand Election Study,"Vowles, Jack; Aimer, Peter; Catt, Helena; Miller, Raymond; Lamare, Jim",V6,https://dataverse.ada.edu.au/dataverse.xhtml?alias=new-zealand-election-study
1996,nzes1996,New Zealand Election Study,"Vowles, Jack; Banducci, Susan; Karp, Jeffrey; Aimer, Peter; Catt, Helena; Miller, Raymond; Denmark, D",V6,https://dataverse.ada.edu.au/dataverse.xhtml?alias=new-zealand-election-study
2005,nzes2005,New Zealand Election Study,"Vowles, Jack; Banducci, Susan; Karp, Jeffrey; Miller, Raymond; Sullivan, Ann",V3,https://dataverse.ada.edu.au/dataverse.xhtml?alias=new-zealand-election-study
2008,nzes2008,New Zealand Election Study,"Vowles, Jack; Banducci, Susan; Karp, Jeffrey; Miller, Raymond; Sullivan, Ann; Curtin, Jennifer",V3,https://dataverse.ada.edu.au/dataverse.xhtml?alias=new-zealand-election-study
2011,nzes2011,New Zealand Election Study,"Vowles, Jack; Cotterell, Gerard; Miller, Raymond; Curtin, Jennifer",V3,https://dataverse.ada.edu.au/dataverse.xhtml?alias=new-zealand-election-study
2014,nzes2014,New Zealand Election Study,"Vowles, Jack; Coffé, Hilde; Curtin, Jennifer; Cotterell, Gerard",V3,https://dataverse.ada.edu.au/dataverse.xhtml?alias=new-zealand-election-study
2017,nzes2017,New Zealand Election Study,"Vowles, Jack; McMillan, Kate; Barker, Fiona; Curtin, Jennifer; Hayward, Janine; Greaves, Lara; Crothers, Charles",V3,https://dataverse.ada.edu.au/dataverse.xhtml?alias=new-zealand-election-study
2020,nzes2020,New Zealand Election Study,"Vowles, Jack; Barker, Fiona; Krewel, Mona; Hayward, Janine; Curtin, Jennifer; Greaves, Lara; Oldfield, Luke",V3,https://dataverse.ada.edu.au/dataverse.xhtml?alias=new-zealand-election-study
1977,nores_combo1,Norwegian Election Study,"Institute of Social Research, Oslo (ISF)",,https://datacatalogue.cessda.eu/detail?q=dc486a789874d0f12086ca9be923ae43d709974242a865de5cdd63791bbe12a8
1981,nores_combo1,Norwegian Election Study,"Institute of Social Research, Oslo (ISF)",,https://datacatalogue.cessda.eu/detail?q=dc486a789874d0f12086ca9be923ae43d709974242a865de5cdd63791bbe12a8
1985,nores_combo1,Norwegian Election Study,"Institute of Social Research, Oslo (ISF)",,https://datacatalogue.cessda.eu/detail?q=dc486a789874d0f12086ca9be923ae43d709974242a865de5cdd63791bbe12a8
1989,nores_combo1,Norwegian Election Study,"Institute of Social Research, Oslo (ISF)",,https://datacatalogue.cessda.eu/detail?q=dc486a789874d0f12086ca9be923ae43d709974242a865de5cdd63791bbe12a8
1993,nores_combo1,Norwegian Election Study,"Institute of Social Research, Oslo (ISF)",,https://datacatalogue.cessda.eu/detail?q=dc486a789874d0f12086ca9be923ae43d709974242a865de5cdd63791bbe12a8
1997,nores_combo1,Norwegian Election Study,"Institute of Social Research, Oslo (ISF)",,https://datacatalogue.cessda.eu/detail?q=dc486a789874d0f12086ca9be923ae43d709974242a865de5cdd63791bbe12a8
2001,nores_combo2,Norwegian Election Study,"Institute of Social Research, Oslo (ISF)",,https://datacatalogue.cessda.eu/detail?q=dc486a789874d0f12086ca9be923ae43d709974242a865de5cdd63791bbe12a8
2005,nores_combo2,Norwegian Election Study,"Institute of Social Research, Oslo (ISF)",,https://datacatalogue.cessda.eu/detail?q=dc486a789874d0f12086ca9be923ae43d709974242a865de5cdd63791bbe12a8
2009,nores_combo2,Norwegian Election Study,"Institute of Social Research, Oslo (ISF)",,https://datacatalogue.cessda.eu/detail?q=dc486a789874d0f12086ca9be923ae43d709974242a865de5cdd63791bbe12a8
2013,nores2013,Norwegian Sámi Parliamentary Election Study,"Saglie, Jo",,https://datacatalogue.cessda.eu/detail?lang=en&q=6a03285c51a290694638b690806bad7fa7ae5d24e20da9e1d0a2b2b9d296b142
1999,belgiumes1999,Belgium Election Study,"ISPO-PIOP, Interuniversity Centre for Political Opinion Research",,https://doi.org/10.17026/dans-z4z-zagc
2003,belgiumes2003,Belgium Election Study,"ISPO-PIOP, Interuniversity Centre for Political Opinion Research",,https://doi.org/10.17026/dans-z2x-hfdx
2007,belgiumes2007,Belgium Election Study,"ISPO-PIOP, Interuniversity Centre for Political Opinion Research",,https://doi.org/10.17026/dans-xyh-cces
1992,pgss,Polish General Social Survey (PGSS) Series,"Bogdan Cichomski, Tomasz Jerzynski, Marcin Zielinski",v1,https://www.icpsr.umich.edu/web/ICPSR/series/185/publications
1993,pgss,Polish General Social Survey (PGSS) Series,"Bogdan Cichomski, Tomasz Jerzynski, Marcin Zielinski",v1,https://www.icpsr.umich.edu/web/ICPSR/series/185/publications
1994,pgss,Polish General Social Survey (PGSS) Series,"Bogdan Cichomski, Tomasz Jerzynski, Marcin Zielinski",v1,https://www.icpsr.umich.edu/web/ICPSR/series/185/publications
1995,pgss,Polish General Social Survey (PGSS) Series,"Bogdan Cichomski, Tomasz Jerzynski, Marcin Zielinski",v1,https://www.icpsr.umich.edu/web/ICPSR/series/185/publications
1997,pgss,Polish General Social Survey (PGSS) Series,"Bogdan Cichomski, Tomasz Jerzynski, Marcin Zielinski",v1,https://www.icpsr.umich.edu/web/ICPSR/series/185/publications
1999,pgss,Polish General Social Survey (PGSS) Series,"Bogdan Cichomski, Tomasz Jerzynski, Marcin Zielinski",v1,https://www.icpsr.umich.edu/web/ICPSR/series/185/publications
2002,pgss,Polish General Social Survey (PGSS) Series,"Bogdan Cichomski, Tomasz Jerzynski, Marcin Zielinski",v1,https://www.icpsr.umich.edu/web/ICPSR/series/185/publications
2005,pgss,Polish General Social Survey (PGSS) Series,"Bogdan Cichomski, Tomasz Jerzynski, Marcin Zielinski",v1,https://www.icpsr.umich.edu/web/ICPSR/series/185/publications
2008,pgss,Polish General Social Survey (PGSS) Series,"Bogdan Cichomski, Tomasz Jerzynski, Marcin Zielinski",v1,https://www.icpsr.umich.edu/web/ICPSR/series/185/publications
2010,pgss,Polish General Social Survey (PGSS) Series,"Bogdan Cichomski, Tomasz Jerzynski, Marcin Zielinski",v1,https://www.icpsr.umich.edu/web/ICPSR/series/185/publications
1977,politbarometer_combo,Politbarometer,"Forschungsgruppe Wahlen, Mannheim",v15.0.0,https://search.gesis.org/research_data/ZA2391?doi=10.4232/1.13631
1980,politbarometer_combo,Politbarometer,"Forschungsgruppe Wahlen, Mannheim",v15.0.0,https://search.gesis.org/research_data/ZA2391?doi=10.4232/1.13631
1981,politbarometer_combo,Politbarometer,"Forschungsgruppe Wahlen, Mannheim",v15.0.0,https://search.gesis.org/research_data/ZA2391?doi=10.4232/1.13631
1982,politbarometer_combo,Politbarometer,"Forschungsgruppe Wahlen, Mannheim",v15.0.0,https://search.gesis.org/research_data/ZA2391?doi=10.4232/1.13631
1983,politbarometer_combo,Politbarometer,"Forschungsgruppe Wahlen, Mannheim",v15.0.0,https://search.gesis.org/research_data/ZA2391?doi=10.4232/1.13631
1986,politbarometer_combo,Politbarometer,"Forschungsgruppe Wahlen, Mannheim",v15.0.0,https://search.gesis.org/research_data/ZA2391?doi=10.4232/1.13631
1987,politbarometer_combo,Politbarometer,"Forschungsgruppe Wahlen, Mannheim",v15.0.0,https://search.gesis.org/research_data/ZA2391?doi=10.4232/1.13631
1990,politbarometer_combo,Politbarometer,"Forschungsgruppe Wahlen, Mannheim",v15.0.0,https://search.gesis.org/research_data/ZA2391?doi=10.4232/1.13631
1991,politbarometer_combo,Politbarometer,"Forschungsgruppe Wahlen, Mannheim",v15.0.0,https://search.gesis.org/research_data/ZA2391?doi=10.4232/1.13631
1992,politbarometer_combo,Politbarometer,"Forschungsgruppe Wahlen, Mannheim",v15.0.0,https://search.gesis.org/research_data/ZA2391?doi=10.4232/1.13631
1993,politbarometer_combo,Politbarometer,"Forschungsgruppe Wahlen, Mannheim",v15.0.0,https://search.gesis.org/research_data/ZA2391?doi=10.4232/1.13631
1994,politbarometer_combo,Politbarometer,"Forschungsgruppe Wahlen, Mannheim",v15.0.0,https://search.gesis.org/research_data/ZA2391?doi=10.4232/1.13631
1995,politbarometer_combo,Politbarometer,"Forschungsgruppe Wahlen, Mannheim",v15.0.0,https://search.gesis.org/research_data/ZA2391?doi=10.4232/1.13631
1996,politbarometer_combo,Politbarometer,"Forschungsgruppe Wahlen, Mannheim",v15.0.0,https://search.gesis.org/research_data/ZA2391?doi=10.4232/1.13631
1997,politbarometer_combo,Politbarometer,"Forschungsgruppe Wahlen, Mannheim",v15.0.0,https://search.gesis.org/research_data/ZA2391?doi=10.4232/1.13631
1998,politbarometer_combo,Politbarometer,"Forschungsgruppe Wahlen, Mannheim",v15.0.0,https://search.gesis.org/research_data/ZA2391?doi=10.4232/1.13631
1999,politbarometer_combo,Politbarometer,"Forschungsgruppe Wahlen, Mannheim",v15.0.0,https://search.gesis.org/research_data/ZA2391?doi=10.4232/1.13631
2000,politbarometer_combo,Politbarometer,"Forschungsgruppe Wahlen, Mannheim",v15.0.0,https://search.gesis.org/research_data/ZA2391?doi=10.4232/1.13631
2001,politbarometer_combo,Politbarometer,"Forschungsgruppe Wahlen, Mannheim",v15.0.0,https://search.gesis.org/research_data/ZA2391?doi=10.4232/1.13631
2002,politbarometer_combo,Politbarometer,"Forschungsgruppe Wahlen, Mannheim",v15.0.0,https://search.gesis.org/research_data/ZA2391?doi=10.4232/1.13631
2003,politbarometer_combo,Politbarometer,"Forschungsgruppe Wahlen, Mannheim",v15.0.0,https://search.gesis.org/research_data/ZA2391?doi=10.4232/1.13631
2004,politbarometer_combo,Politbarometer,"Forschungsgruppe Wahlen, Mannheim",v15.0.0,https://search.gesis.org/research_data/ZA2391?doi=10.4232/1.13631
2005,politbarometer_combo,Politbarometer,"Forschungsgruppe Wahlen, Mannheim",v15.0.0,https://search.gesis.org/research_data/ZA2391?doi=10.4232/1.13631
2006,politbarometer_combo,Politbarometer,"Forschungsgruppe Wahlen, Mannheim",v15.0.0,https://search.gesis.org/research_data/ZA2391?doi=10.4232/1.13631
2007,politbarometer_combo,Politbarometer,"Forschungsgruppe Wahlen, Mannheim",v15.0.0,https://search.gesis.org/research_data/ZA2391?doi=10.4232/1.13631
2008,politbarometer_combo,Politbarometer,"Forschungsgruppe Wahlen, Mannheim",v15.0.0,https://search.gesis.org/research_data/ZA2391?doi=10.4232/1.13631
2009,politbarometer_combo,Politbarometer,"Forschungsgruppe Wahlen, Mannheim",v15.0.0,https://search.gesis.org/research_data/ZA2391?doi=10.4232/1.13631
2010,politbarometer_combo,Politbarometer,"Forschungsgruppe Wahlen, Mannheim",v15.0.0,https://search.gesis.org/research_data/ZA2391?doi=10.4232/1.13631
2011,politbarometer_combo,Politbarometer,"Forschungsgruppe Wahlen, Mannheim",v15.0.0,https://search.gesis.org/research_data/ZA2391?doi=10.4232/1.13631
2012,politbarometer_combo,Politbarometer,"Forschungsgruppe Wahlen, Mannheim",v15.0.0,https://search.gesis.org/research_data/ZA2391?doi=10.4232/1.13631
2013,politbarometer_combo,Politbarometer,"Forschungsgruppe Wahlen, Mannheim",v15.0.0,https://search.gesis.org/research_data/ZA2391?doi=10.4232/1.13631
2014,politbarometer_combo,Politbarometer,"Forschungsgruppe Wahlen, Mannheim",v15.0.0,https://search.gesis.org/research_data/ZA2391?doi=10.4232/1.13631
2015,politbarometer_combo,Politbarometer,"Forschungsgruppe Wahlen, Mannheim",v15.0.0,https://search.gesis.org/research_data/ZA2391?doi=10.4232/1.13631
2016,politbarometer_combo,Politbarometer,"Forschungsgruppe Wahlen, Mannheim",v15.0.0,https://search.gesis.org/research_data/ZA2391?doi=10.4232/1.13631
2010,amb_argentina2010,Political Culture of Democracy,,v10.1b,http://datasets.americasbarometer.org/database/files/924077670Argentina_LAPOP_AmericasBarometer%202010%20data%20set%20approved%20v3.dta
2010,amb_bolivia2010,Political Culture of Democracy,Daniel Moreno,v11,http://datasets.americasbarometer.org/database/files/1748144313Bolivia_LAPOP_AmericasBarometer%202010%20data%20set%20%20approved%20v3.dta
2010,amb_chile2010,Political Culture of Democracy,Juan Pablo Luna,v10.1h ,http://datasets.americasbarometer.org/database/files/1217681709Chile_LAPOP_AmericasBarometer%202010%20data%20set%20approved%20v4.dta
2009,amb_colombia2009,Political Culture of Democracy,Juan Carlos RodrÃ­guez-Raga,v19,http://datasets.americasbarometer.org/database/files/754888614Colombia2009_Rev1_W.dta
2011,amb_colombia2011,Political Culture of Democracy,Juan Carlos RodrÃ­guez-Raga,v1,http://datasets.americasbarometer.org/database/files/1329454000Colombia2011_Rev1_W.dta
2010,amb_suriname2010,Political Culture of Democracy,Dominique ZÃ©phyr,v10.2a I,http://datasets.americasbarometer.org/database/files/132981347Suriname_LAPOP_AmericasBarometer%202010%20data%20set%20%20original%20v1.dta
2010,amb_venezuela2010,Political Culture of Democracy,Damarys Canache,v10.0,http://datasets.americasbarometer.org/database/files/1451946926Venezuela_LAPOP_AmericasBarometer%202010%20data%20set%20APPROVED%20v3.dta
2004,uspew2004_typo,Political Typology,Pew Research Center,,https://www.pewresearch.org/politics/dataset/december-2004-political-typology/
2017,uspew2017_6typo,Political Typology,Pew Research Center,,
2016,uspew2016_3pol,Politics and Policy,Pew Research Center,,https://www.pewresearch.org/politics/datasets/
2012,ptvs2012,Portugal Elections and Political Reprsentation,"André Freire, José Manuel Leite Viegas , Ana Maria Belchior, and Marco Lisi",p2,http://er.cies.iscte-iul.pt/sites/default/dfiles/ElectorsSurvey_PT_2012_db_0.sav
2016,ptvs2016,Portugal Elections and Political Reprsentation,"André Freire, Emmanouil Tsatsanis",p3,http://er.cies.iscte-iul.pt/sites/default/dfiles/ElectorsSurvey_PT_2016-2018_W1-W2_db_0.sav
2018,ptvs2016,Portugal Elections and Political Reprsentation,"André Freire, Emmanouil Tsatsanis",p3,http://er.cies.iscte-iul.pt/sites/default/dfiles/ElectorsSurvey_PT_2016-2018_W1-W2_db_0.sav
2014,uspew2014_9rel,Religion Datasets,Pew Research Center,,https://www.pewresearch.org/religion/religion-datasets/
2007,uspew2007_rls,Religious Landscape Survey,Pew Research Center,,https://www.pewresearch.org/religion/religious-landscape-study/
2013,sasianb2,South Asian Barometer Survey,Hu Fu Center for East Asia Democratic Studies,,https://www.asianbarometer.org/datar?page=d10
1988,snes1988,Swedish National Election Studies (SNES),"Andersson, D., Hedberg, P., Svensson, R., Oscarsson, H. ",v1,https://snd.gu.se/en/catalogue/collection/snes
1991,snes1991,Swedish National Election Studies (SNES),"Andersson, D., Hedberg, P., Svensson, R., Oscarsson, H. ",v1,https://snd.gu.se/en/catalogue/collection/snes
1994,snes1994,Swedish National Election Studies (SNES),"Andersson, D., Hedberg, P., Svensson, R., Oscarsson, H. ",v1,https://snd.gu.se/en/catalogue/collection/snes
1998,snes1998,Swedish National Election Studies (SNES),"Andersson, D., Hedberg, P., Svensson, R., Oscarsson, H. ",v1,https://snd.gu.se/en/catalogue/collection/snes
2002,snes2002,Swedish National Election Studies (SNES),"Andersson, D., Hedberg, P., Svensson, R., Oscarsson, H. ",v1,https://snd.gu.se/en/catalogue/collection/snes
2006,snes2006,Swedish National Election Studies (SNES),"Andersson, D., Hedberg, P., Svensson, R., Oscarsson, H. ",v1,https://snd.gu.se/en/catalogue/collection/snes
2010,snes2010,Swedish National Election Studies (SNES),"Andersson, D., Hedberg, P., Svensson, R., Oscarsson, H. ",v1,https://snd.gu.se/en/catalogue/collection/snes
2014,snes2014,Swedish National Election Studies (SNES),"Andersson, D., Hedberg, P., Svensson, R., Oscarsson, H. ",v1,https://snd.gu.se/en/catalogue/collection/snes
2018,snes2018,Swedish National Election Studies (SNES),"Andersson, D., Hedberg, P., Svensson, R., Oscarsson, H. ",v1,https://snd.gu.se/en/catalogue/collection/snes
